socialHeadline,headline,urlAlias,updatedDate
"""Two men accused of rioting in Hong Kong have charges withdrawn""","""Hong Kong protests: two men accused of rioting have charges withdrawn""",https://scmp.com/print/news/hong-kong/law-and-crime/article/3051826/hong-kong-protests-two-men-accused-rioting-have,21/02/2020 10:32
"""Hong Kong police caught up in coronavirus crisis after more officers develop symptoms""","""Hong Kong police caught up in coronavirus crisis after first officer tests positive and more develop symptoms""",https://scmp.com/print/news/hong-kong/law-and-crime/article/3051789/hong-kong-policewoman-tested-coronavirus-after-lung,21/02/2020 16:00
"""Protesters marking Yuen Long mob attack celebrate officer getting coronavirus""","""Protests over Yuen Long feature beer, champagne as some celebrate Hong Kong police officer’s coronavirus infection""",https://scmp.com/print/news/hong-kong/politics/article/3051777/protests-over-yuen-long-feature-beer-champagne-some,21/02/2020 09:15
"""Beijing’s top man in Hong Kong urges unity, reassures city over supplies""","""Coronavirus: Beijing’s top official in Hong Kong makes email plea for unity, reassures city over supplies""",https://scmp.com/print/news/china/politics/article/3051666/coronavirus-beijings-top-official-hong-kong-makes-email-plea,20/02/2020 19:48
"""Hong Kong anti-government slogan spray-painted outside Chinese army base""","""Anti-government protesters’ slogan spray-painted outside Chinese army base in Hong Kong""",https://scmp.com/print/news/hong-kong/law-and-crime/article/3051465/anti-government-protesters-slogan-spray-painted,19/02/2020 17:01
"""RTHK warned over TV show implying police hoarded masks""","""Hong Kong commerce minister warns RTHK to observe broadcasting principles after complaints over TV show implying police hoarded masks""",https://scmp.com/print/news/hong-kong/politics/article/3051174/hong-kong-commerce-minister-warns-rthk-observe-broadcasting,18/02/2020 13:24
"""Videos of Hong Kong officers dining with pro-police entertainers goes viral""","""Videos of Hong Kong police officers dining with Jackie Chan and other pro-establishment, anti-protest entertainers goes viral""",https://scmp.com/print/news/hong-kong/society/article/3051053/videos-hong-kong-police-officers-dining-pro-establishment,17/02/2020 17:36
"""Facial recognition fears in EU: ‘really scary what I saw in Hong Kong’""","""‘Really scary what I saw in Hong Kong’: EU to urge caution on use of facial recognition amid fears of Big Brother-style society""",https://scmp.com/print/news/world/europe/article/3050895/what-i-saw-hong-kong-was-truly-scary-eu-urge-caution-use-facial,17/02/2020 13:37
"""Hundreds protest against quarantine sites in five locations""","""Coronavirus: hundreds protest against Hong Kong quarantine sites in five locations near residential estates""",https://scmp.com/print/news/hong-kong/health-environment/article/3050875/hundreds-protest-against-quarantine-sites-four,17/02/2020 09:06
"""Airport suffers worst January in five years amid protests, coronavirus""","""Coronavirus: Hong Kong airport suffers worst January in five years as officials blame protests and deadly bug for poor traffic""",https://scmp.com/print/news/hong-kong/transport/article/3050858/coronavirus-hong-kong-airport-suffers-worst-january-five,16/02/2020 15:18
"""Hong Kong may see biggest ever budget deficit next financial year: finance chief""","""Coronavirus: Hong Kong may see biggest ever budget deficit next financial year amid ‘tsunami-scale blow’ caused by public health crisis, finance chief warns""",https://scmp.com/print/news/hong-kong/hong-kong-economy/article/3050860/coronavirus-hong-kong-may-see-biggest-ever-budget,16/02/2020 11:31
"""Hong Kong farms profit from panic buying as virus fears escalate""","""Amid price hikes for mainland produce during coronavirus outbreak, Hong Kong farms get used to an unfamiliar sight – queues""",https://scmp.com/print/news/hong-kong/health-environment/article/3050797/amid-price-hikes-mainland-produce-during,16/02/2020 15:18
"""Hong Kong police use pepper spray and arrest protesters in coronavirus clash""","""Coronavirus: protesters arrested as light rail station vandalised during demonstrations against Hong Kong government’s handling of outbreak""",https://scmp.com/print/news/hong-kong/politics/article/3050803/coronavirus-protesters-arrested-light-rail-station-and,17/02/2020 09:07
"""Hong Kong government wins appeal over limiting access to ‘Civic Square’""","""Hong Kong government wins appeal over limiting access to ‘Civic Square’""",https://scmp.com/print/news/hong-kong/politics/article/3050630/hong-kong-government-wins-appeal-over-limiting-access-civic,14/02/2020 11:41
"""With Xi ally helming Hong Kong affairs office, what does this mean for the city?""","""Why did Beijing appoint trusted Xi Jinping ally to office overseeing Hong Kong affairs? Insiders put positive spin but admit it’s for tighter oversight after protests""",https://scmp.com/print/news/hong-kong/politics/article/3050548/why-did-beijing-appoint-trusted-xi-jinping-ally-office,13/02/2020 17:10
"""Xia Baolong – from toppling crosses to overseeing Hong Kong affairs""","""Xia Baolong – from toppling church crosses to overseeing Hong Kong affairs""",https://scmp.com/print/news/china/politics/article/3050540/xia-baolong-toppling-church-crosses-overseeing-hong-kong,14/02/2020 03:21
"""China upgrades Hong Kong affairs with new chief""","""China upgrades Hong Kong affairs with new chief""",https://scmp.com/print/news/china/politics/article/3050401/china-appoints-new-director-hong-kong-and-macau-liaison-office,14/02/2020 02:14
"""Teen who ‘received HK$48,000’ from bankroller of Hong Kong protesters arrested""","""Hong Kong teen who ‘received HK$48,000’ from financial supporter of anti-government protesters arrested for money laundering, drug trafficking""",https://scmp.com/print/news/hong-kong/law-and-crime/article/3050321/hong-kong-teen-who-received-hk48000-financial,13/02/2020 03:41
"""100 people protest over plan to use Fo Tan public estate as quarantine site""","""About 100 people protest in Hong Kong over plan to use Fo Tan public housing estate as quarantine site""",https://scmp.com/print/news/hong-kong/health-environment/article/3050266/about-100-people-protest-hong-kong-over-plan-use,12/02/2020 11:28
"""Hong Kong police slam protesters as 12 arrested amid coronavirus outbreak""","""Hong Kong police decry ‘chaos’ created by anti-government protests as 12 arrested amid coronavirus outbreak""",https://scmp.com/print/news/hong-kong/law-and-crime/article/3050279/hong-kong-police-decry-chaos-created-anti-government,12/02/2020 11:31
"""Man set on fire amid protests says he will continue to fight injustice""","""Hongkonger who was set on fire by radical protesters in November last year says he will continue to fight injustice""",https://scmp.com/print/news/hong-kong/society/article/3049866/hongkonger-who-was-set-fire-radical-protesters-november-last,10/02/2020 16:09
"""Hong Kong protests: salesman has police officer assault charge withdrawn""","""Hong Kong protests: salesman accused of elbowing police officer has assault charge withdrawn""",https://scmp.com/print/news/hong-kong/law-and-crime/article/3049835/hong-kong-protests-salesman-accused-elbowing-police,10/02/2020 08:41
"""Teachers say they live in fear for criticising government during protests""","""Hong Kong protests: teachers who criticised government on social media say they are living in fear""",https://scmp.com/print/news/hong-kong/education/article/3049745/hong-kong-protests-teachers-who-criticised-government,10/02/2020 08:27
"""A new strain of resistance? How the virus changes Hong Kong’s protests""","""A new strain of resistance? How the coronavirus crisis is changing Hong Kong’s protest movement""",https://scmp.com/print/news/hong-kong/health-environment/article/3049696/new-strain-resistance-how-coronavirus-crisis,10/02/2020 07:17
"""Police fire tear gas as protesters block roads in Tseung Kwan O""","""Hong Kong protests: police fire tear gas as demonstrators block roads near Tseung Kwan O car park""",https://scmp.com/print/news/hong-kong/politics/article/3049678/hong-kong-protests-police-fire-tear-gas-demonstrators-block,08/02/2020 15:56
"""US lawmakers push for investigation of China Daily""","""US lawmakers push Justice Department to investigate China Daily, label the newspaper a foreign agent""",https://scmp.com/print/news/china/diplomacy/article/3049627/us-lawmakers-push-justice-department-investigate-china-daily,14/02/2020 09:33
"""Hong Kong protests spur increase in YouTube political channels""","""Hong Kong protests spur increase in YouTube political commentary channels""",https://scmp.com/print/news/hong-kong/politics/article/3049377/hong-kong-protests-spur-increase-youtube-political,07/02/2020 02:00
"""Hong Kong F&B sector’s first annual decline in revenue since Sars""","""Food and beverage industry in Hong Kong posts first annual decline in revenue since Sars, with 5.9 per cent drop""",https://scmp.com/print/news/hong-kong/health-environment/article/3049220/food-and-beverage-industry-hong-kong-posts-first,05/02/2020 23:45
"""Bomb disposal team called after explosion in Hong Kong public toilet""","""Bomb disposal team called after explosion in Hong Kong public toilet near housing estate""",https://scmp.com/print/news/hong-kong/law-and-crime/article/3049001/bomb-disposal-team-called-after-explosion-hong-kong,04/02/2020 19:14
"""Former IPCC task force member suggests delay of report is political""","""Former task force member under police watchdog slams decision to postpone interim report on officers’ handling of Hong Kong protests, suggesting political motives""",https://scmp.com/print/news/hong-kong/politics/article/3048128/former-task-force-member-under-police-watchdog-slams,04/02/2020 02:00
"""Hong Kong activist Nathan Law to attend Trump’s State of the Union address""","""Hong Kong activist Nathan Law to attend Trump’s State of the Union address""",https://scmp.com/print/news/china/article/3048807/hong-kong-activist-nathan-law-attend-trumps-state-union-address,14/02/2020 10:14
"""Armed gang launches vicious attack on protesters at Yuen Long MTR station""","""Hong Kong protests: armed gang launches vicious attack on group outside Yuen Long MTR station""",https://scmp.com/print/news/hong-kong/law-and-crime/article/3048395/hong-kong-protests-armed-gang-launches-vicious-attack,31/01/2020 11:25
"""‘Bad timing’: expanded immigration scheme for tech talent panned""","""‘Bad timing’: industry experts pan expanded fast-track immigration scheme by Hong Kong government to lure tech talent """,https://scmp.com/print/news/hong-kong/hong-kong-economy/article/3048287/bad-timing-industry-experts-pan-expanded-fast,30/01/2020 15:05
"""Three Hong Kong universities judged ‘most international’ in world rankings""","""Three Hong Kong universities declared ‘most international’ by Times Higher Education World University Rankings""",https://scmp.com/print/news/hong-kong/health-environment/article/3048187/three-hong-kong-universities-declared-most,30/01/2020 15:05
"""Amnesty International praises Hongkongers for standing up to ‘abusive policing’""","""Hong Kong protests: Amnesty International praises Hongkongers for standing up in face of ‘abusive policing’""",https://scmp.com/print/news/hong-kong/politics/article/3048110/hong-kong-protests-amnesty-international-praises,29/01/2020 23:00
"""Fireworks in Hong Kong as illegal display flares into the night sky""","""Fireworks in Hong Kong as illegal pyrotechnic display flares unexpectedly into the night sky at Causeway Bay typhoon shelter""",https://scmp.com/print/news/hong-kong/society/article/3048140/fireworks-hong-kong-illegal-pyrotechnic-display-flares,29/01/2020 23:01
"""Hong Kong protests: radicals in bomb threat against police living quarters""","""Hong Kong protests: police on defensive as radicals threaten bombing campaign against officers’ living quarters""",https://scmp.com/print/news/hong-kong/law-and-crime/article/3048133/hong-kong-protests-petrol-bombs-thrown-kwai-chung,30/01/2020 16:19
"""Police hunting 300 suspects ‘involved in serious protest violence’""","""Hong Kong protests: police hunting 300 suspects over serious cases of violence during civil unrest""",https://scmp.com/print/news/hong-kong/law-and-crime/article/3048032/hong-kong-protests-police-hunting-300-suspects,29/01/2020 06:02
"""Pro-Beijing lawmaker urges leniency for those arrested in protests""","""Pro-Beijing lawmaker Priscilla Leung urges leniency for Hong Kong protesters arrested over ‘minor offences’""",https://scmp.com/print/news/hong-kong/politics/article/3047929/pro-beijing-lawmaker-priscilla-leung-urges-leniency-hong,29/01/2020 03:40
"""Hong Kong protesters disrupt railway, declare ‘dawn of anti-epidemic’ action""","""Hong Kong protesters disrupt MTR services, declare ‘dawn of anti-epidemic’ strikes over government’s handling of Wuhan coronavirus outbreak""",https://scmp.com/print/news/hong-kong/health-environment/article/3047983/hong-kong-protesters-disrupt-mtr-rail-services,29/01/2020 13:53
"""Student facing life in prison in connection with attack on visitor from mainland""","""Hong Kong student facing life in prison in connection with vicious gang attack on visitor from mainland China""",https://scmp.com/print/news/hong-kong/law-and-crime/article/3047927/hong-kong-student-facing-life-prison-connection,29/01/2020 15:21
"""IED found at border point, after another suspected toilet bomb""","""Unexploded IED found at Shenzhen border control point, after suspected bomb destroys second Hong Kong toilet in 24 hours""",https://scmp.com/print/news/hong-kong/law-and-crime/article/3047898/unexploded-ied-found-shenzhen-border-control-point,28/01/2020 11:44
"""‘Even white miniskirts are banned’: mainland China stops imports over protests""","""Struggling Hong Kong apparel shops say little rhyme, reason to what is being stopped at border by mainland China customs""",https://scmp.com/print/news/hong-kong/society/article/3047804/struggling-hong-kong-apparel-shops-say-little-rhyme-reason,28/01/2020 05:24
"""Taiwanese sending equipment, messages of solidarity to Hong Kong protesters""","""The Taiwanese sending protest equipment, messages of solidarity to Hong Kong demonstrators""",https://scmp.com/print/news/hong-kong/politics/article/3047702/taiwanese-sending-protest-equipment-messages-solidarity,17/02/2020 06:13
"""More than 80 radicals wanted by Hong Kong police take refuge in Taiwan""","""More than 80 radical protesters wanted by Hong Kong police have taken refuge beyond their reach in Taiwan""",https://scmp.com/print/news/hong-kong/politics/article/3047697/more-80-radical-protesters-wanted-hong-kong-police-have,27/01/2020 02:29
"""Tear gas fired in Mong Kok for second night in row as radicals block roads""","""Hong Kong protests: tear gas fired for second night in row in Mong Kok as radicals block roads and ‘assault passers-by’""",https://scmp.com/print/news/hong-kong/law-and-crime/article/3047723/hong-kong-protests-tear-gas-fired-second-night-row,26/01/2020 22:17
"""Applications pour in for cash to research cause of Hong Kong protests""","""Hong Kong protests: applications pour in for government cash to research city’s civil unrest""",https://scmp.com/print/news/hong-kong/politics/article/3047700/hong-kong-protests-applications-pour-government-cash,26/01/2020 13:50
"""Action choreographer charged with weapons possession, linked to bomb plot""","""Hong Kong action choreographer linked to bomb plot, charged with possessing array of weapons""",https://scmp.com/print/news/hong-kong/law-and-crime/article/3047693/hong-kong-action-choreographer-linked-bomb-plot,26/01/2020 14:30
"""Hong Kong government must ‘listen to the people’ in Year of Rat: fortune stick""","""Hong Kong government must ‘listen to the people’ in Year of the Rat, according to interpretation of fortune stick drawn by pro-Beijing lawmaker Kenneth Lau""",https://scmp.com/print/news/hong-kong/society/article/3047684/hong-kong-government-must-listen-people-year-rat-according,26/01/2020 09:43
"""Tear gas fired on first day of Lunar New Year in Hong Kong""","""Hong Kong protests: tear gas fired on first day of Lunar New Year as crowd gathers to mark fourth anniversary of Mong Kok riot""",https://scmp.com/print/news/hong-kong/politics/article/3047661/hong-kong-protests-tear-gas-fired-first-day-lunar-new-year,26/01/2020 09:22
"""Hong Kong feng shui masters say worst is over for Carrie Lam""","""Hong Kong feng shui masters say worst is over for Carrie Lam, unrest will continue but weaken in Year of the Rat""",https://scmp.com/print/news/hong-kong/society/article/3047581/hong-kong-feng-shui-masters-say-worst-over-carrie-lam-unrest,25/01/2020 01:00
"""US defence chief says China is a ‘21st century surveillance state’""","""‘Orwell would be proud’: US defence chief says China is a ‘21st century surveillance state’ that represses Muslim minorities""",https://scmp.com/print/news/world/united-states-canada/article/3047618/orwell-would-be-proud-us-defence-chief-says-china,17/02/2020 06:22
"""Singapore PM: ‘one country, two systems’ at risk if housing crisis not fixed""","""Singapore PM: ‘one country, two systems’ may not last unless Hong Kong’s housing crisis is fixed""",https://scmp.com/print/news/asia/southeast-asia/article/3047607/singapore-pm-one-country-two-systems-may-not-last-unless,24/01/2020 13:55
"""Four held over ‘supporting role’ in alleged Tuen Mun bomb plot""","""Hong Kong police arrest four for ‘supporting role’ in alleged plot to build remote-controlled bomb""",https://scmp.com/print/news/hong-kong/politics/article/3047601/hong-kong-police-arrest-four-supporting-role-alleged-plot,24/01/2020 12:22
"""Protester who carried petrol bombs for others gets year in jail""","""Hong Kong fashion designer gets year in jail for carrying petrol bombs in backpack at anti-mask law protest""",https://scmp.com/print/news/hong-kong/politics/article/3047593/hong-kong-fashion-designer-gets-year-jail-carrying-petrol,24/01/2020 10:40
"""Ousted Hong Kong incumbents cite smears, bogus claims in bid to overturn poll""","""Ousted incumbents in Hong Kong district council polls cite smears, bogus claims in petitioning court to overturn results""",https://scmp.com/print/news/hong-kong/law-and-crime/article/3047444/ousted-incumbents-hong-kong-district-council-polls,23/01/2020 17:47
"""Rail operator continues to suffer from declining passenger numbers""","""Hong Kong’s rail operator MTR Corporation continues to suffer from dip in passenger numbers""",https://scmp.com/print/news/hong-kong/transport/article/3047396/hong-kongs-rail-operator-mtr-corporation-continues-suffer,23/01/2020 15:05
"""Officer who shot protester faces charge of attempted murder in rare private prosecution""","""Hong Kong lawmaker files case against officer who shot protester in rare example of private prosecution""",https://scmp.com/print/news/hong-kong/law-and-crime/article/3047377/hong-kong-lawmaker-files-case-against-officer-who-shot,23/01/2020 15:04
"""Police ban on rally marking Mong Kok riot anniversary upheld""","""Hong Kong protests: ban on rally marking fourth anniversary of Mong Kok riot upheld after police express fear radicals would hijack event""",https://scmp.com/print/news/hong-kong/politics/article/3047375/hong-kong-protests-ban-rally-marking-fourth-anniversary,23/01/2020 15:59
"""Protest-related breaches ‘found in 60 per cent of cases’ against teachers""","""Hong Kong Education Bureau finds protest-related breaches by teachers in 60 per cent of complaints""",https://scmp.com/print/news/hong-kong/education/article/3047246/hong-kong-education-bureau-finds-protest-related,23/01/2020 03:14
"""Carrie Lam reveals ‘anti-protest camp’ has pressured her to rein in media""","""Hong Kong leader Carrie Lam reveals she is ‘facing a lot of pressure’ to rein in journalists as protests rock city""",https://scmp.com/print/news/hong-kong/politics/article/3047257/hong-kong-leader-carrie-lam-reveals-she-facing-lot-pressure,23/01/2020 00:38
"""Police chief again tangles with councillors over handling of protests""","""Hong Kong police chief tangles with opposition councillors for second time in week over force’s handling of protests""",https://scmp.com/print/news/hong-kong/politics/article/3047251/hong-kong-police-chief-tangles-opposition-councillors,22/01/2020 16:18
"""Carrie Lam denies Beijing is using protests to tighten control over Hong Kong""","""Hong Kong leader Carrie Lam hails President Xi Jinping’s support for city as she rejects suggestions Beijing is exploiting the anti-government protests""",https://scmp.com/print/news/hong-kong/politics/article/3047178/hong-kong-leader-carrie-lam-hails-president-xi-jinpings,22/01/2020 15:57
"""Former police watchdog head breaks silence over ‘unfair’ protests probe""","""Hong Kong protests: ‘unfair’ to burden Independent Police Complaints Council with unrest probe without powers, its former chief says""",https://scmp.com/print/news/hong-kong/politics/article/3047098/hong-kong-protests-unfair-burden-independent-police,22/01/2020 15:01
"""Police officers ‘warned’ for mishandling reporters’ personal data""","""Police officers ‘received verbal warnings’ for holding reporters’ identity cards in front of live-streaming cameras during Hong Kong protests""",https://scmp.com/print/news/hong-kong/law-and-crime/article/3047073/police-officers-received-verbal-warnings-holding,22/01/2020 15:05
"""PLA praises Carrie Lam as it urges Hongkongers to ‘treasure their home’""","""PLA urges Hongkongers to ‘treasure their home’ in Lunar New Year message as military pays tribute to city’s police and Carrie Lam""",https://scmp.com/print/news/hong-kong/society/article/3047076/pla-urges-hongkongers-treasure-their-home-lunar-new-year,21/01/2020 21:11
"""Hundreds gather at rallies to mark Yuen Long attack six months on""","""Hong Kong protests: hundreds gather at peaceful rallies to mark Yuen Long MTR station attack six months on""",https://scmp.com/print/news/hong-kong/politics/article/3047065/hong-kong-protests-hundreds-gather-peaceful-rallies-mark,21/01/2020 18:32
"""75-fold increase in doxxing complaints amid protests in 2019""","""Hong Kong’s privacy watchdog reveals 75-fold increase in doxxing complaints amid anti-government protests in 2019""",https://scmp.com/print/news/hong-kong/law-and-crime/article/3047059/hong-kongs-privacy-watchdog-reveals-75-fold-increase,21/01/2020 15:33
"""Food truck boss hopes ‘yellow economy’ can power him to election win""","""Hong Kong food truck boss hopes ‘yellow economy’ can power him to election victory""",https://scmp.com/print/news/hong-kong/politics/article/3047055/hong-kong-food-truck-boss-hopes-yellow-economy-can-power,21/01/2020 13:49
"""Organiser in court two days after police attacked at Hong Kong rally""","""Hong Kong protest organiser Ventus Lau in court two days after rally at which several police officers were attacked""",https://scmp.com/print/news/hong-kong/law-and-crime/article/3047040/hong-kong-protest-organiser-ventus-lau-court-two-days,21/01/2020 14:37
"""Yuen Long mob attack victims sue Hong Kong police""","""Hong Kong protests: Yuen Long mob attack victims sue police force""",https://scmp.com/print/news/hong-kong/politics/article/3047028/hong-kong-protests-yuen-long-mob-attack-victims-sue-police,21/01/2020 14:37
"""Stalls at new year fair seized over banners mocking political leaders""","""Hong Kong government acts after pro-democracy group refuses to remove banners mocking Chinese President Xi Jinping from stall at Lunar New Year fair""",https://scmp.com/print/news/hong-kong/politics/article/3047023/hong-kong-government-acts-after-pro-democracy-group-refuses,21/01/2020 13:49
"""Ex-lawmaker accused of damaging officer’s hearing after Hong Kong protest""","""Hong Kong protests: ex-lawmaker Au Nok-hin accused of damaging police officer’s hearing during Yau Ma Tei stand-off""",https://scmp.com/print/news/hong-kong/law-and-crime/article/3046886/hong-kong-protests-ex-lawmaker-au-nok-hin-accused,20/01/2020 11:25
"""Simon Cheng: Hongkonger held in China optimistic he can stay in Britain""","""Simon Cheng: Hongkonger who was held in mainland China optimistic he can stay in Britain""",https://scmp.com/print/news/china/politics/article/3046843/simon-cheng-hongkonger-who-was-held-mainland-china-optimistic,17/02/2020 06:54
"""Officials shut down Lunar New Year market stalls over Hong Kong protest displays""","""Lunar New Year market stalls in Victoria Park shut down by officials over Hong Kong protest displays""",https://scmp.com/print/news/hong-kong/politics/article/3046829/lunar-new-year-market-stalls-victoria-park-shut-down,20/01/2020 23:58
"""‘Shameless and despicable’: police union slams organiser after rally violence""","""Hong Kong’s biggest police union slams ‘shameless’ and ‘despicable’ organiser of rally after attacks on four plain-clothes officers""",https://scmp.com/print/news/hong-kong/politics/article/3046813/hong-kong-police-defend-pepper-spray-tactics-mong-kok,20/01/2020 15:00
"""Plans to give privacy watchdog some teeth receive cautious welcome""","""Plans to give Hong Kong’s privacy watchdog some teeth in battle against doxxing receive cautious welcome from legal experts""",https://scmp.com/print/news/hong-kong/law-and-crime/article/3046769/plans-give-hong-kongs-privacy-watchdog-some-teeth,20/01/2020 14:50
"""Detectives sent out on patrol in Hong Kong as protests lead to crime surge""","""Hong Kong police send out detectives for patrols as anti-government protests lead to crime surge""",https://scmp.com/print/news/hong-kong/law-and-crime/article/3046710/hong-kong-police-send-out-detectives-patrols-anti,20/01/2020 03:44
"""New chief, new tactics: police act swiftly when protests turn ugly""","""New chief, new tactics: Hong Kong police act more swiftly to round up masked radicals when protests turn ugly""",https://scmp.com/print/news/hong-kong/law-and-crime/article/3046718/new-chief-new-tactics-hong-kong-police-act-more,20/01/2020 01:56
"""Danish artist creates new Pillar of Shame sculpture for Hong Kong’s protests""","""Danish artist creates new sculpture in Pillar of Shame series to show solidarity with Hong Kong’s anti-government protesters""",https://scmp.com/print/news/hong-kong/politics/article/3046745/danish-artist-creates-new-sculpture-pillar-shame-series,19/01/2020 14:54
"""Traveller numbers at Hong Kong airport in biggest drop since 2009""","""Hong Kong protests: traveller numbers at city airport in biggest drop since 2009 as unrest batters tourism""",https://scmp.com/print/news/hong-kong/politics/article/3046734/hong-kong-protests-traveller-numbers-city-airport-biggest,20/01/2020 03:34
"""Two officers attacked, tear gas fired and organiser arrested in rally chaos""","""Hong Kong protests: two plain-clothes police officers beaten up, tear gas fired and rally organiser arrested as mayhem breaks out in Central""",https://scmp.com/print/news/hong-kong/politics/article/3046726/hong-kong-protests-tear-gas-fired-arrests-rally-universal,20/01/2020 04:22
"""Six months after attack, many Yuen Long witnesses still have not heard from police""","""Six months after Yuen Long mob attack, most shops in vicinity ‘have yet to be approached’ by Hong Kong police""",https://scmp.com/print/news/hong-kong/law-and-crime/article/3046693/six-months-after-yuen-long-mob-attack-most-shops,19/01/2020 14:54
"""Hong Kong protest art goes on sale at independent Lunar New Year fairs""","""Hong Kong protest art goes on sale at independent Lunar New Year fairs in city after changes at official events""",https://scmp.com/print/news/hong-kong/society/article/3046679/independent-lunar-new-year-fairs-spring-hong-kong-after,18/01/2020 15:26
"""Financial secretary hints at scaling back relief measures amid concerns over costs""","""Hong Kong Financial Secretary Paul Chan hints at scaling back one-off relief measures in upcoming budget amid concerns over increase in recurrent expenditure""",https://scmp.com/print/news/hong-kong/politics/article/3046675/hong-kong-financial-secretary-paul-chan-hints-scaling-down,18/01/2020 15:22
"""Hong Kong officials to shun pro-democracy councillors’ panel""","""Hong Kong officials to shun pro-democracy councillors’ panel""",https://scmp.com/print/news/hong-kong/politics/article/3046669/hong-kong-officials-shun-pro-democracy-councillors-panel,18/01/2020 15:26
"""Party disciplinary panel clears lawmaker Ted Hui over phone snatch""","""Phone-snatching lawmaker Ted Hui cleared by party disciplinary panel, likely to contest Legco elections again""",https://scmp.com/print/news/hong-kong/politics/article/3046636/phone-snatching-lawmaker-ted-hui-cleared-party-disciplinary,18/01/2020 15:26
"""Chinese #MeToo activist Sophia Huang Xueqin ‘freed from detention’""","""Chinese #MeToo activist Sophia Huang Xueqin freed from detention, lawyers and sources say""",https://scmp.com/print/news/china/politics/article/3046643/chinese-metoo-activist-sophia-huang-xueqin-freed-detention,17/02/2020 07:21
"""Police officer among eight arrested next to Tuen Mun ‘Lennon Wall’""","""Hong Kong protests: police officer among eight arrested next to new ‘Lennon Wall’ in Tuen Mun""",https://scmp.com/print/news/hong-kong/politics/article/3046640/hong-kong-protests-police-officer-among-eight-arrested-next,17/01/2020 21:05
"""Hong Kong universities adopt safety first approach over student exchanges""","""Hong Kong universities adopt safety first approach as protest fears force them to suspend student exchange programmes""",https://scmp.com/print/news/hong-kong/education/article/3046630/hong-kong-universities-adopt-safety-first-approach-protest,18/01/2020 09:21
"""Glass bottles used for protest bombs can be recycled again after government lifts ban""","""Environment minister cites calmer atmosphere in Hong Kong as he lifts recycling ban on glass bottles""",https://scmp.com/print/news/hong-kong/health-environment/article/3046603/environment-minister-cites-calmer-atmosphere-hong,17/01/2020 15:21
"""Ex-IPCC members question decision to delay protest report""","""Former members of Hong Kong police watchdog say court case no excuse for holding up interim report on handling of protests""",https://scmp.com/print/news/hong-kong/politics/article/3046593/former-members-hong-kong-police-watchdog-say-court-case-no,17/01/2020 10:56
"""Lawmaker files legal bid to know components of tear gas used on protesters""","""Hong Kong lawmaker files legal bid at High Court to force police to reveal components of tear gas they use on anti-government protesters""",https://scmp.com/print/news/hong-kong/politics/article/3046555/hong-kong-lawmaker-files-legal-bid-high-court-force-police,17/01/2020 09:02
"""Acting independently and taking responsibility: teachers’ hopes for pupils""","""Hong Kong educators want students to act independently, take responsibility and reconcile tensions, survey finds""",https://scmp.com/print/news/hong-kong/education/article/3046459/hong-kong-educators-want-students-act-independently-take,16/01/2020 16:37
"""Man who attacked Post photographer during protest clash admits assault""","""Hong Kong protests: man who attacked Post photographer pleads guilty to assault""",https://scmp.com/print/news/hong-kong/law-and-crime/article/3046455/hong-kong-protests-man-who-attacked-post-photographer,16/01/2020 16:39
"""Survey of Hong Kong protesters says 80 per cent back ‘one country, two systems’""","""New survey of Hong Kong protesters says 80 per cent support ‘one country, two systems’ and don’t want independence from China""",https://scmp.com/print/news/hong-kong/politics/article/3046451/new-survey-hong-kong-protesters-says-80-support-one-country,17/01/2020 01:00
"""Police chief says ‘rioters’ should say sorry for damaging Hong Kong""","""‘Police apologise?’ No, Hong Kong rioters should say sorry for chaos they brought to the city, force chief Chris Tang says""",https://scmp.com/print/news/hong-kong/law-and-crime/article/3046446/hong-kong-protests-rioters-should-apologise-damaging,16/01/2020 22:28
"""Airport traffic slump downplayed as HK$1 billion ‘skybridge’ unveiled""","""Hong Kong airport’s long-term investment plans to stay on course despite ongoing protests buffeting passenger numbers""",https://scmp.com/print/news/hong-kong/hong-kong-economy/article/3046436/hong-kong-airports-long-term-investment-plans-stay,16/01/2020 14:52
"""Legal challenge stops report into Hong Kong protests being published""","""Hong Kong protests: legal challenge stops police watchdog from publishing review into officers’ behaviour during unrest""",https://scmp.com/print/news/hong-kong/politics/article/3046438/hong-kong-protests-legal-challenge-stops-police-watchdog,16/01/2020 12:58
"""Kowloon mall reopens, but post-protest scars remain""","""Hong Kong mall Festival Walk reopens, but post-protest scars remain""",https://scmp.com/print/news/hong-kong/hong-kong-economy/article/3046437/hong-kong-mall-festival-walk-reopens-post-protest,16/01/2020 14:52
"""Man who vandalised HSBC branch ordered to attend rehabilitation for drug abuse""","""Hong Kong man who vandalised HSBC branch ordered to attend rehabilitation for drug abuse""",https://scmp.com/print/news/hong-kong/politics/article/3046395/hong-kong-man-who-vandalised-hsbc-outlet-ordered,16/01/2020 14:54
"""Respect ‘one country, two systems’ or risk losing Hong Kong’s capitalist model: Lam""","""Carrie Lam says Hong Kong capitalism can only survive beyond 2047 if ‘one country, two systems’ is fully respected""",https://scmp.com/print/news/hong-kong/politics/article/3046333/carrie-lam-says-hong-kongs-capitalist-system-can-only,16/01/2020 15:22
